"","lacgene","corgene","cor","pvalue"
"179","CD36","C8orf88",0.502324564236336,5.13502181606854e-30
"180","CD36","MAMDC2.1",0.550027378197306,8.72198499548779e-37
"181","CASP6","NFE2L3",0.530977401378708,5.93972743415194e-34
"182","CASP6","MCM10",0.526109934681263,2.94577125076138e-33
"183","CASP6","TRIP13",0.522427775427033,9.72415577117838e-33
"184","CASP6","TPX2",0.536598729718293,9.04605269222489e-35
"185","CASP6","CDC6",0.511449507059979,3.14139532317732e-31
"186","CASP6","PCK2",0.564519788948316,4.57337489733781e-39
"187","CASP6","CENPF",0.505682244722,1.85477556218964e-30
"188","CASP6","KIF14",0.512279419720839,2.42625027529876e-31
"189","CASP6","KIF18A",0.541474015907965,1.7182279195231e-35
"190","CASP6","TOP2A",0.527587227978054,1.81686461829954e-33
"191","CASP6","KIF23",0.526018276109913,3.03519669483506e-33
"192","CASP6","KHK",0.50232701361478,5.13122975372698e-30
"193","CASP6","RECQL4",0.509443189867896,5.84879372659035e-31
"194","CASP6","EXO1",0.55727936472063,6.50883986407937e-38
"195","CASP6","AQP11",0.541203039576931,1.88575806420417e-35
"196","CASP6","IQGAP3",0.5237713686443,6.29990763372748e-33
"197","CASP6","XRCC2",0.506724130977012,1.34915326340827e-30
"198","CASP6","DHRS11",0.519681553129339,2.3472770344979e-32
"199","CASP6","DHRS11.1",0.519681553129339,2.3472770344979e-32
"200","DHH","HSPB6",0.667298151387605,4.77289085231046e-59
"201","DHH","EHD3",0.557682886897025,5.62305741191057e-38
"202","DHH","ATP1A2",0.645092679992098,4.48895538203499e-54
"203","DHH","FHL1",0.6559839205467,1.84261743517521e-56
"204","DHH","LMO3",0.649922254447297,4.03545515369432e-55
"205","DHH","METTL24",0.662239412494756,7.06723912209642e-58
"206","DHH","PSD",0.565475996879945,3.20477711393483e-39
"207","DHH","NTN1",0.561676997971464,1.30744959161086e-38
"208","DHH","PDZD4",0.662930977008942,4.90440965599525e-58
"209","DHH","PYGM",0.662778121764466,5.31731248342975e-58
"210","DHH","CDH19",0.54979851279431,9.45668305338759e-37
"211","DHH","LIMS2",0.709802749310426,7.12044154706577e-70
"212","DHH","SPEG",0.553489939920613,2.54626181099571e-37
"213","DHH","SPEG.1",0.553489939920613,2.54626181099571e-37
"214","DHH","WSCD2",0.51340341054187,1.70806071748572e-31
"215","DHH","ACTN2",0.512698332818278,2.1290708889018e-31
"216","DHH","ITGA8",0.516218007073492,7.05177024011774e-32
"217","DHH","ADCYAP1R1",0.58976531892136,2.55878076933593e-43
"218","DHH","EPHA6",0.525782880740926,3.27735677185168e-33
"219","DHH","COL19A1",0.587093426284419,7.51284809416207e-43
"220","DHH","GNAO1",0.67195957086256,3.79898215002303e-60
"221","DHH","CMA1",0.510813672594033,3.82706722587206e-31
