"","lacgene","corgene","cor","pvalue"
"61","CD36","SLC25A34",0.57653947421033,4.80551255653892e-41
"62","CD36","ALPI",0.526951149535972,2.23777067771979e-33
"63","CD36","LEAP2",0.530113546860906,7.90701849652651e-34
"64","CD36","MOGAT2",0.515069917589388,1.01262850353242e-31
"65","CD36","NAALADL1",0.576111096843423,5.6710294932025e-41
"66","CD36","S100G",0.567893038107742,1.29767345660413e-39
"67","CD36","TTC36",0.577049878281238,3.94373071544477e-41
"68","CD36","MS4A10",0.60546005339233,3.71760031470716e-46
"69","CD36","DAB1",0.565623251149011,3.0336801119022e-39
"70","CD36","SLC6A19",0.521066468648217,1.50660391208033e-32
"71","CD36","ZG16",0.520690339982631,1.69975128552831e-32
"72","CD36","AQP11",0.526790555758859,2.35848174050554e-33
"73","CD36","ENPP7",0.547516057915727,2.11127800949209e-36
"74","CD36","OTOP3",0.548177649305833,1.67384846465128e-36
"75","CD36","CYP4F2",0.535831107602333,1.17212301927653e-34
"76","CD36","CIDEC",0.510132078807179,4.72694218195482e-31
"77","CD36","ASAH2",0.601372121465682,2.1113296518538e-45
"78","CD36","ADH1B",0.574712271258661,9.72256769026109e-41
"79","CD36","SLC2A7",0.576153653060462,5.57855462998468e-41
"80","CD36","ASPDH",0.56499977059675,3.82628146191573e-39
"81","CD36","ERICH4",0.54463342546914,5.77115110764174e-36
"82","CD36","MS4A18",0.518145116324101,3.829704455145e-32
"83","CD36","UGT1A5",0.521042794529035,1.51809270555761e-32
"84","CD36","MGAM",0.554863270068647,1.55627801847594e-37
"85","CD36","MGAM.1",0.554863270068647,1.55627801847594e-37
"86","DHH","CHRDL1",0.523948390510998,5.94885923127836e-33
"87","DHH","LGI4",0.503260780699886,3.87010448922849e-30
"88","CD8A","CXCL9",0.687016968872489,7.72250428030531e-64
"89","CD8A","FCGR1A",0.551523226345667,5.13312991256474e-37
"90","CD8A","CXCL10",0.584996209840422,1.73754972687777e-42
"91","CD8A","CXCL11",0.543076193043513,9.8953017537223e-36
"92","CD8A","CCR8",0.609065337418768,7.86863033321256e-47
"93","CD8A","FCGR3A",0.569521210684973,7.02826196340029e-40
"94","WNT3A","SST",0.700008016479126,3.28806970855171e-67
"95","NLRP3","FAP",0.536242028537052,1.02041874893465e-34
"96","NLRP3","ADAMTS2",0.541723291642961,1.57717149697482e-35
"97","NLRP3","CHI3L1",0.526480716615719,2.6098743440619e-33
"98","NLRP3","SULF1",0.502788849228909,4.46356115913339e-30
"99","NLRP3","UCN2",0.582990199402162,3.85270559690645e-42
"100","NLRP3","ADAM12",0.518756066890669,3.15323319225917e-32
"101","NLRP3","IL24",0.541664432028049,1.60940711991507e-35
"102","NLRP3","CXCL8",0.521796606909049,1.19157207109224e-32
"103","NLRP3","DIRC1",0.540816792739054,2.15285977904637e-35
"104","NLRP3","CLEC5A",0.610150864004806,4.91081853224993e-47
"105","SHH","HS3ST6",0.71298672852828,9.16849563805283e-71
"106","SHH","GRIK3",0.533706694673569,2.39253734818624e-34
"107","SHH","C6orf15",0.702239663629461,8.30763118064138e-68
"108","SHH","C6orf15.1",0.702239663629461,8.30763118064138e-68
"109","SHH","C6orf15.2",0.702239663629461,8.30763118064138e-68
"110","SHH","C6orf15.3",0.702239663629461,8.30763118064138e-68
"111","SHH","C6orf15.4",0.702239663629461,8.30763118064138e-68
"112","SHH","C6orf15.5",0.702239663629461,8.30763118064138e-68
"113","SHH","HS3ST6.1",0.71298672852828,9.16849563805283e-71
"114","NOD2","KRT33A",0.571879690714937,2.87366936331289e-40
"115","NOD2","TFAP2B",0.505715679923076,1.83595826351583e-30
"116","NOD2","EHD3",0.525950359707941,3.1031866232975e-33
"117","NOD2","CLCA4",0.593797246374528,4.94154129739144e-44
"118","NOD2","BARX2",0.522833511014637,8.53124367013287e-33
"119","NOD2","SERPINB3",0.619468216984161,7.95604892820116e-49
"120","NOD2","ARSF",0.557409614416609,6.20878167493077e-38
"121","NOD2","PITX1",0.599394551824178,4.84801272628818e-45
"122","NOD2","TP63",0.509253158932634,6.20214118339456e-31
"123","NOD2","PKP1",0.631173633055776,3.66664327473461e-51
"124","NOD2","FAT2",0.595343170433925,2.61429666216105e-44
"125","NOD2","TMPRSS11E",0.585515834318936,1.41241829118452e-42
"126","NOD2","SULT2B1",0.634225546743994,8.67986487392557e-52
"127","NOD2","TMEM40",0.599713262695142,4.2418228735985e-45
"128","NOD2","FETUB",0.50091527396527,7.8470973066193e-30
"129","NOD2","TGM1",0.626883023223847,2.70555329218099e-50
"130","NOD2","FMO2",0.574511007366424,1.05044594413774e-40
"131","NOD2","KLF8",0.518363381763656,3.57296902442949e-32
"132","NOD2","TGM5",0.599219353230848,5.21705486028809e-45
"133","NOD2","CNFN",0.563004972118095,8.01440303668395e-39
"134","NOD2","ALOX12",0.574363561078158,1.11165257838221e-40
"135","NOD2","FOXN1",0.606958057447339,1.95483885867186e-46
"136","NOD2","CWH43",0.577336177532012,3.52935638782882e-41
"137","NOD2","ENDOU",0.588933318144135,3.5822747791121e-43
"138","NOD2","GYS2",0.507490630462004,1.0667517540885e-30
"139","NOD2","IRX4",0.56788025302836,1.30391956408325e-39
"140","NOD2","PPL",0.591272826815907,1.38734783341368e-43
"141","NOD2","SLC46A2",0.651132561770376,2.19130516726107e-55
"142","NOD2","TP53AIP1",0.584027938796648,2.55366215305562e-42
"143","NOD2","CSTA",0.572064393121812,2.67846579173286e-40
"144","NOD2","GJB6",0.592437157867742,8.62775311511557e-44
"145","NOD2","LYPD3",0.64612383825587,2.69371244577065e-54
"146","NOD2","TGM3",0.559288405786845,3.13570714541071e-38
"147","NOD2","FAM83C",0.614133572446456,8.57297475465992e-48
"148","NOD2","SLURP1",0.569355892740226,7.48094294649928e-40
"149","NOD2","BBOX1",0.562894414903625,8.34840395979273e-39
"150","NOD2","SOX15",0.524652600420633,4.73404080331399e-33
"151","NOD2","SLC6A11",0.537122961108679,7.57624345618577e-35
"152","NOD2","ALDH3B2",0.60031354627963,3.29695483665894e-45
"153","NOD2","SPINK5",0.578827055747073,1.97636736357131e-41
"154","NOD2","TTC9",0.588483316292679,4.29553636676924e-43
"155","NOD2","GRHL1",0.655203718161649,2.75233643406502e-56
