"","gene","cell","Correlation","Pvalue"
"104","BGN","CD70",0.213664725053296,5.18809560769234e-05
"105","FAP","CD70",0.251288551161888,1.7401127791223e-06
"106","TIAM1","CD70",0.250575629850911,1.86561080250171e-06
"107","KHK","CD70",0.0487083012013953,0.361536249568545
"108","RS","CD70",0.138560332501151,0.00914290826412611
"109","GHR","CD80",0.150030585457285,0.00473062400773681
"110","BGN","CD80",0.195089905992312,0.000226110317466794
"111","FAP","CD80",0.410326879255466,9.07567596242386e-16
"112","TIAM1","CD80",0.394816084545027,1.28859210160656e-14
"113","KHK","CD80",0.0105115179834517,0.843985265502768
"114","RS","CD80",0.238234715599383,6.02609244870733e-06
"115","GHR","CD86",0.326313377255828,3.34450547611642e-10
"116","BGN","CD86",0.402622742947226,3.44908454261579e-15
"117","FAP","CD86",0.5263145259315,1.52269520079087e-26
"118","TIAM1","CD86",0.409172510377379,1.11100354510219e-15
"119","KHK","CD86",-0.011288206651046,0.832621471338534
"120","RS","CD86",0.389793705681554,2.95439703853673e-14
"121","GHR","CD96",0.299266685763417,9.76705645809319e-09
"122","BGN","CD96",0.176740513893987,0.000852479396953014
"123","FAP","CD96",0.245297603921265,3.10388105475238e-06
"124","TIAM1","CD96",0.491547176883818,7.14358210226509e-23
"125","KHK","CD96",0.0324747880690524,0.543093168151348
"126","RS","CD96",0.308040256149706,3.39253523381065e-09
"127","GHR","CEACAM1",-0.18792785612476,0.000385229958755585
"128","BGN","CEACAM1",-0.111357852787247,0.0365001234827534
"129","FAP","CEACAM1",-0.0474642050818135,0.373944144051248
"130","TIAM1","CEACAM1",-0.14903353882088,0.00501855328512941
"131","KHK","CEACAM1",0.0344241514544268,0.519142243314207
"132","RS","CEACAM1",-0.17309971322191,0.00109310795556078
"133","GHR","CTLA4",0.0731731304424433,0.170137662984104
"134","BGN","CTLA4",0.144159480503822,0.00666590752158157
"135","FAP","CTLA4",0.211804568276054,6.04801077565128e-05
"136","TIAM1","CTLA4",0.332132672304799,1.54690696942752e-10
"137","KHK","CTLA4",0.0774711632712244,0.146342562799238
"138","RS","CTLA4",0.137020172817107,0.00995433395460738
"139","GHR","HAVCR2",0.283494973469217,5.99092951392505e-08
"140","BGN","HAVCR2",0.426735074740114,4.69981843368692e-17
"141","FAP","HAVCR2",0.574499362510662,2.17630419624219e-32
"142","TIAM1","HAVCR2",0.37663046792018,2.43337726858929e-13
"143","KHK","HAVCR2",0.0411545193918651,0.44082114747712
"144","RS","HAVCR2",0.355888441624103,5.59156426924645e-12
"145","GHR","ICOS",0.177888484242849,0.000787414197304309
"146","BGN","ICOS",0.121553076195098,0.0223626842041015
"147","FAP","ICOS",0.261952450119541,5.98768806301071e-07
"148","TIAM1","ICOS",0.44793847089376,8.00636020970392e-19
"149","KHK","ICOS",0.053057787636537,0.320208308911083
"150","RS","ICOS",0.219285313449473,3.23757811861782e-05
"151","GHR","ICOSLG",0.0981694534059576,0.0654244091277717
"152","BGN","ICOSLG",0.0293038179507712,0.583188132134648
"153","FAP","ICOSLG",-0.00200352143991871,0.970078945501376
"154","TIAM1","ICOSLG",0.165829842492851,0.00177031700406163
"155","KHK","ICOSLG",0.0518133623076986,0.331705648345427
"156","RS","ICOSLG",0.0589913440596381,0.268995634570442
"157","GHR","IDO1",0.0188806591098214,0.723707110074557
"158","BGN","IDO1",0.10432835929816,0.0501658360827743
"159","FAP","IDO1",0.185187958756002,0.000469953185083662
"160","TIAM1","IDO1",0.201851263541459,0.000134338857141668
"161","KHK","IDO1",0.0882523467650332,0.0978309261297439
"162","RS","IDO1",0.0612359380821729,0.251168723414817
"163","GHR","KIR2DL1",0.13699530899392,0.00996794129805151
"164","BGN","KIR2DL1",0.151060287942784,0.00444897400010863
"165","FAP","KIR2DL1",0.175893011313336,0.000903661766851219
"166","TIAM1","KIR2DL1",0.244238156816072,3.43309846383754e-06
"167","KHK","KIR2DL1",0.0399993002196853,0.453765023137779
"168","RS","KIR2DL1",0.147922732123199,0.0053578358718723
"169","GHR","KIR2DL3",0.151160438022891,0.00442240432849948
"170","BGN","KIR2DL3",0.23967623147755,5.27159409771545e-06
"171","FAP","KIR2DL3",0.287548520666485,3.79851339114296e-08
"172","TIAM1","KIR2DL3",0.234724026598343,8.31760521510161e-06
"173","KHK","KIR2DL3",0.0832609243649055,0.118407088440872
"174","RS","KIR2DL3",0.176839279633403,0.000846692170506811
"175","GHR","KIR2DL4",-0.0971933649175547,0.0681609825560136
"176","BGN","KIR2DL4",-0.0195532850445198,0.714286833095125
"177","FAP","KIR2DL4",0.0980010489565921,0.0658900041084017
"178","TIAM1","KIR2DL4",0.1519920017384,0.00420726232897713
"179","KHK","KIR2DL4",0.00979799128220726,0.854453566618813
"180","RS","KIR2DL4",-0.0121176978256605,0.820523519470228
"181","GHR","KIR2DS4",-0.0243377937347705,0.648597607998361
"182","BGN","KIR2DS4",0.0197033742241952,0.712190644387203
"183","FAP","KIR2DS4",0.0364430586355253,0.49492214085864
"184","TIAM1","KIR2DS4",0.157861221136972,0.00293856058139263
"185","KHK","KIR2DS4",0.0232779571170469,0.662937623218959
"186","RS","KIR2DS4",0.0158238974523624,0.767025347943372
"187","GHR","KIR3DL1",0.127206346667041,0.0167917972456023
"188","BGN","KIR3DL1",0.12473471186163,0.0190575612554821
"189","FAP","KIR3DL1",0.176352981717568,0.00087554165810722
"190","TIAM1","KIR3DL1",0.259637871809375,7.57831221605696e-07
"191","KHK","KIR3DL1",0.0973394519068223,0.0677455451762921
"192","RS","KIR3DL1",0.125509394536183,0.0183203437573083
"193","GHR","KIR3DL2",0.108575546965391,0.0414755200293401
"194","BGN","KIR3DL2",0.110518753818577,0.0379443112489554
"195","FAP","KIR3DL2",0.162369100320438,0.0022122644352051
"196","TIAM1","KIR3DL2",0.324201878985273,4.40648957894869e-10
"197","KHK","KIR3DL2",0.0318882321170132,0.550405663577477
"198","RS","KIR3DL2",0.150844867423149,0.00450661345984748
"199","GHR","KIR3DL3",-0.0606105690681189,0.256050900098365
"200","BGN","KIR3DL3",-0.0552057206041014,0.300981259438665
"201","FAP","KIR3DL3",-0.0089204197100069,0.867363485703702
"202","TIAM1","KIR3DL3",0.0153788811946611,0.773396391975794
"203","KHK","KIR3DL3",0.0264026086650394,0.621033090290973
"204","RS","KIR3DL3",-0.0824505160176043,0.122045692889858
"205","GHR","LAG3",0.0554735305752253,0.29863882615451
"206","BGN","LAG3",0.168461678381707,0.00149005333572663
"207","FAP","LAG3",0.228742932680116,1.42402414942601e-05
"208","TIAM1","LAG3",0.285797726698906,4.62878058926848e-08
"209","KHK","LAG3",0.0983215007565372,0.065006360943807
"210","RS","LAG3",0.131344210322498,0.0135230586629193
"211","GHR","LGALS9",-0.157191406665361,0.00306329348352148
"212","BGN","LGALS9",-0.0410377482027264,0.442119881134599
"213","FAP","LGALS9",-0.0674490545659328,0.20615897019491
"214","TIAM1","LGALS9",-0.0995831254007385,0.0616215458169222
"215","KHK","LGALS9",0.126644107987571,0.0172854094132481
"216","RS","LGALS9",-0.18744762044025,0.000398969366049625
"217","GHR","PDCD1",0.118803598287003,0.0256076495544245
"218","BGN","PDCD1",0.232763746464893,9.93609892821881e-06
"219","FAP","PDCD1",0.231468186401705,1.11656382049901e-05
"220","TIAM1","PDCD1",0.368022304427563,9.18511738196571e-13
"221","KHK","PDCD1",0.139097368990365,0.00887411823986091
"222","RS","PDCD1",0.172392067060033,0.001146590227248
"223","GHR","PDCD1LG2",0.419957168774162,1.6283613637213e-16
"224","BGN","PDCD1LG2",0.453456563530989,2.64547857208601e-19
"225","FAP","PDCD1LG2",0.624744871269712,1.3137000200159e-39
"226","TIAM1","PDCD1LG2",0.498026285547032,1.58943698197717e-23
"227","KHK","PDCD1LG2",0.0122195808884135,0.81904044294773
"228","RS","PDCD1LG2",0.475873516176659,2.37979766678271e-21
"229","GHR","PVR",-0.160242517477442,0.00253158345810508
"230","BGN","PVR",0.00426947974002278,0.936291267339189
"231","FAP","PVR",0.0349880478430022,0.51231659180397
"232","TIAM1","PVR",-0.163334663965581,0.00207979173137181
"233","KHK","PVR",0.125701275783468,0.0181416298166263
"234","RS","PVR",-0.173463369227882,0.0010665263485669
"235","GHR","SIRPA",0.274683471784612,1.57359326772856e-07
"236","BGN","SIRPA",0.367041469268577,1.06594066937174e-12
"237","FAP","SIRPA",0.405062239611147,2.26841803011238e-15
"238","TIAM1","SIRPA",0.175273400270989,0.000942859779339506
"239","KHK","SIRPA",0.0872434944130165,0.101742467758071
"240","RS","SIRPA",0.22846055849573,1.46012234491789e-05
"241","GHR","TDO2",0.152066296749392,0.00418850847558468
"242","BGN","TDO2",0.272261387169361,2.03995554104995e-07
"243","FAP","TDO2",0.358221339589972,3.97449057173551e-12
"244","TIAM1","TDO2",0.209476081998342,7.31425298448032e-05
"245","KHK","TDO2",0.00557672033163919,0.916846967255629
"246","RS","TDO2",0.203913818140855,0.000114216620615581
"247","GHR","TIGIT",0.248689214084987,2.24082782081467e-06
"248","BGN","TIGIT",0.196769748720582,0.000198994047933064
"249","FAP","TIGIT",0.27146413615091,2.22068536167712e-07
"250","TIAM1","TIGIT",0.460206443808766,6.64084322120486e-20
"251","KHK","TIGIT",0.0849794652249022,0.110971772357532
"252","RS","TIGIT",0.260470408164464,6.96439801575239e-07
"253","GHR","TNFRSF14",-0.171548335174818,0.00121350092840457
"254","BGN","TNFRSF14",-0.0797294704678499,0.134901776519622
"255","FAP","TNFRSF14",-0.0986049438945272,0.064232903229864
"256","TIAM1","TNFRSF14",0.0018268742989628,0.972715961308903
"257","KHK","TNFRSF14",0.101277945575035,0.0573044680532327
"258","RS","TNFRSF14",-0.180027331492456,0.000678271079445262
"259","GHR","TNFRSF18",-0.0755401014540905,0.156699407213668
"260","BGN","TNFRSF18",0.197615693027368,0.000186520520003431
"261","FAP","TNFRSF18",0.163661331975648,0.00203664082942437
"262","TIAM1","TNFRSF18",0.162933245833968,0.0021339595739378
"263","KHK","TNFRSF18",0.0594831445531654,0.265017544349364
"264","RS","TNFRSF18",0.0553073664358561,0.30009077051668
"265","GHR","TNFRSF4",0.156778928128125,0.00314247776465721
"266","BGN","TNFRSF4",0.429313267777492,2.90797557665814e-17
"267","FAP","TNFRSF4",0.364182442942078,1.64030752681703e-12
"268","TIAM1","TNFRSF4",0.241353106443366,4.50717158572181e-06
"269","KHK","TNFRSF4",0.046654510696038,0.382158764984334
"270","RS","TNFRSF4",0.242178138666301,4.17107001922348e-06
"271","GHR","TNFRSF9",0.196528624626607,0.000202689853810395
"272","BGN","TNFRSF9",0.239120618062479,5.55106883655396e-06
"273","FAP","TNFRSF9",0.34433768015536,2.90991875577578e-11
"274","TIAM1","TNFRSF9",0.424722562136317,6.81697494408457e-17
"275","KHK","TNFRSF9",0.0893351306982819,0.0937668455304474
"276","RS","TNFRSF9",0.232968201853923,9.75423804138729e-06
"277","GHR","TNFSF14",0.352202084871874,9.53527783912463e-12
"278","BGN","TNFSF14",0.242762427992588,3.94765541807828e-06
"279","FAP","TNFSF14",0.275013398396786,1.51863114947962e-07
"280","TIAM1","TNFSF14",0.388195003232121,3.83612410768833e-14
"281","KHK","TNFSF14",-0.0927665634920725,0.0817715351065595
"282","RS","TNFSF14",0.37381435791063,3.77414132449919e-13
"283","GHR","TNFSF18",0.338116889206694,6.88136036115687e-11
"284","BGN","TNFSF18",0.201353522961633,0.000139670016015861
"285","FAP","TNFSF18",0.204484039584858,0.00010917478178478
"286","TIAM1","TNFSF18",0.352246532012627,9.47450149524642e-12
"287","KHK","TNFSF18",0.0337039921758335,0.527926855461387
"288","RS","TNFSF18",0.287256289685029,3.92630900667689e-08
"289","GHR","TNFSF4",0.360801268622824,2.71590985632043e-12
"290","BGN","TNFSF4",0.588062805828815,3.25367960614596e-34
"291","FAP","TNFSF4",0.673103943097237,6.40611031240681e-48
"292","TIAM1","TNFSF4",0.278405677292249,1.0507844822995e-07
"293","KHK","TNFSF4",0.0221882058113501,0.67781171888687
"294","RS","TNFSF4",0.412744030468543,5.92726184238452e-16
"295","GHR","TNFSF9",-0.050362295587452,0.345443448248823
"296","BGN","TNFSF9",0.202510727239818,0.000127569167478168
"297","FAP","TNFSF9",0.267767774355904,3.27998829971361e-07
"298","TIAM1","TNFSF9",0.104436707694843,0.0499265867894649
"299","KHK","TNFSF9",0.0334746399654513,0.530740282200883
"300","RS","TNFSF9",0.0987079297617298,0.063953756511223
"301","GHR","VTCN1",0.0673933872235659,0.206534472281726
"302","BGN","VTCN1",-0.118686766561977,0.0257540857696343
"303","FAP","VTCN1",-0.14932153361925,0.00493380657419103
"304","TIAM1","VTCN1",0.0525761296180477,0.324627239018081
"305","KHK","VTCN1",-0.246517861074451,2.76205236997708e-06
"306","RS","VTCN1",0.0772357787395891,0.147576349598331
